Matrícula: 324, ava: 117, data_ini: 2020-10-16 08:41:32; 
Matrícula: 337, ava: 117, data_ini: 2020-10-16 11:52:04; 
Matrícula: 337, ava: 117, data_fim: 2020-10-19 09:33:56; 
Matrícula: 379, ava: 117, data_ini: 2020-10-16 15:08:33; 
Matrícula: 378, ava: 118, data_fim: 2020-10-18 17:00:42; 
Matrícula: 405, ava: 117, data_ini: 2020-10-15 18:00:35; 
Matrícula: 413, ava: 117, data_ini: 2020-10-16 10:58:35; 
Matrícula: 419, ava: 152, data_ini: 2020-10-16 10:14:25; 
Matrícula: 434, ava: 118, data_ini: 2020-10-13 21:51:42; 
Matrícula: 423, ava: 152, data_ini: 2020-10-16 12:19:01; 
Matrícula: 423, ava: 152, data_fim: 2020-10-17 09:12:00; 
Matrícula: 415, ava: 118, data_fim: 2020-10-16 12:33:15; 
Matrícula: 465, ava: 117, data_ini: 2020-10-17 09:54:20; 
Matrícula: 465, ava: 117, data_fim: 2020-10-18 17:09:45; 
Matrícula: 469, ava: 118, data_fim: 2020-10-19 08:10:24; 
Matrícula: 471, ava: 119, data_ini: 2020-10-16 11:55:07; 
Matrícula: 471, ava: 119, data_fim: 2020-10-19 09:15:38; 
Matrícula: 476, ava: 118, data_ini: 2020-10-14 18:12:01; 
Matrícula: 476, ava: 118, data_fim: 2020-10-17 00:07:01; 
Matrícula: 474, ava: 152, data_ini: 2020-10-16 11:17:36; 
Matrícula: 474, ava: 152, data_fim: 2020-10-16 17:54:22; 
Matrícula: 499, ava: 118, data_ini: 2020-10-18 23:14:59; 
Matrícula: 499, ava: 181, data_ini: 2020-10-18 23:06:27; 
Matrícula: 499, ava: 181, data_fim: 2020-10-18 23:14:38; 
Matrícula: 511, ava: 118, data_fim: 2020-10-17 14:21:23; 
Matrícula: 441, ava: 118, data_fim: 2020-10-18 18:48:46; 
Matrícula: 331, ava: 117, data_fim: 2020-10-16 15:05:10; 
Matrícula: 484, ava: 118, data_ini: 2020-10-16 17:07:25; 
Matrícula: 484, ava: 118, data_fim: 2020-10-18 14:44:48; 
Matrícula: 484, ava: 181, data_ini: 2020-10-16 16:14:26; 
Matrícula: 484, ava: 181, data_fim: 2020-10-18 14:19:30; 
Matrícula: 530, ava: 118, data_ini: 2020-10-16 19:29:14; 
Matrícula: 530, ava: 181, data_ini: 2020-10-16 19:24:02; 
Matrícula: 530, ava: 181, data_fim: 2020-10-16 20:21:57; 
Matrícula: 520, ava: 117, data_ini: 2020-10-18 10:55:57; 
Matrícula: 520, ava: 117, data_fim: 2020-10-19 09:39:12; 
Matrícula: 332, ava: 151, data_fim: 2020-10-18 12:05:04; 
Matrícula: 498, ava: 120, data_fim: 2020-10-18 17:45:22; 
Matrícula: 500, ava: 120, data_fim: 2020-10-18 23:54:23; 
Matrícula: 437, ava: 120, data_fim: 2020-10-18 21:12:10; 
Matrícula: 538, ava: 183, data_fim: 2020-10-19 09:42:01; 
